Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
3229187,Member,member,,,,epic,,,14-Nov-16,,,,"Allow member to make reservation, make payment, save favorite route, view transaction history and edit profile.",https://www.pivotaltracker.com/epic/show/3229187,,,,,,,,,,,,,,,
3229185,Driver,driver,,,,epic,,,14-Nov-16,,,,"Allow driver to check route price, set the traveled route timer, and view served customer history",https://www.pivotaltracker.com/epic/show/3229185,,,,,,,,,,,,,,,
3229183,Customer,customer,,,,epic,,,14-Nov-16,,,,Allow customer to register as member,https://www.pivotaltracker.com/epic/show/3229183,,,,,,,,,,,,,,,
3229181,Administrator,administrator,,,,epic,,,14-Nov-16,,,,"Allow Admin to add new driver, update driver information, remove driver, view report, and generate promo code",https://www.pivotaltracker.com/epic/show/3229181,,,,,,,,,,,,,,,
136637215,I want to add new driver by just entering driver information,administrator,1,14-Nov-16,27-Nov-16,feature,1,accepted,14-Nov-16,17-Nov-16,,E Bell Lim,Admin should be able to add new driver,https://www.pivotaltracker.com/story/show/136637215,E Bell Lim,"Add 4 textfields for driver information such as driver name, email, IC number, phone number, password, driver licence expiration date, taxi company name, and carplate number",not completed,Add a radio button for customer to choose gender,not completed,Add a submit button to complete the new driver registration,not completed,,,,,,,,
136637241,I wish to view monthly generated drivers' served customer report and transaction report ,administrator,1,14-Nov-16,27-Nov-16,feature,1,accepted,14-Nov-16,17-Nov-16,,Timothy,Admin should be able to view report,https://www.pivotaltracker.com/story/show/136637241,Timothy,Add 2 spinners to select the month or year,not completed,Add search button to search the specified report,not completed,,,,,,,,,,
136637221,I wish to update driver information by referring from driver list that display all of the driver name,administrator,1,14-Nov-16,27-Nov-16,feature,2,accepted,14-Nov-16,21-Nov-16,,Kelvin Wong,Admin should be able to update driver's information,https://www.pivotaltracker.com/story/show/136637221,Kelvin Wong,display a list of drivers in a table form,not completed,design an edit button to edit and update the driver infomation,not completed,,,,,,,,,,
136637229,I want to have a delete button to remove unwanted driver,administrator,1,14-Nov-16,27-Nov-16,feature,2,accepted,14-Nov-16,21-Nov-16,,Jefferson Ng,Admin should be able to remove driver,https://www.pivotaltracker.com/story/show/136637229,Jefferson Ng,Design a delete button to remove the driver information,not completed,,,,,,,,,,,,
136637251,I wish to give promo code to members by sending the promo code to their email,administrator,1,14-Nov-16,27-Nov-16,feature,3,accepted,14-Nov-16,24-Nov-16,,Mike Chong,Admin should be able to generate promo code and send to members' email,https://www.pivotaltracker.com/story/show/136637251,Mike Chong,Add 2 textfields for entering the promo code and its description,not completed,Add a list to display the available promo codes,not completed,Add a check button to check the description of the promo code,not completed,Add a member lists that display the members that are eligible to receive the promo code,not completed,Add a send button to allow admin to send the promo code to the selected member's email,not completed,,,,
136637269,I wish to register as member by entering my personal information,customer,2,28-Nov-16,11-Dec-16,feature,1,accepted,14-Nov-16,30-Nov-16,,E Bell Lim,Customer should be able to register as a member,https://www.pivotaltracker.com/story/show/136637269,E Bell Lim,"Add 4 textfields for customer to enter name, email, contact no. and password",not completed,Add a radio button for customer to choose gender,not completed,Add drop down list for customer to select the date of birth,not completed,"Add 3 buttons for ""Back"", ""Clear"" and ""Register"". ""Register"" is for add new member, ""Back"" is to go back to previous pages and ""Clear"" is for clear all textfields",not completed,,,,,,
136637299,"I want to start the timer when I started to depart, and end the timer when I reached the destination",driver,2,28-Nov-16,11-Dec-16,feature,2,accepted,14-Nov-16,1-Dec-16,,Timothy,Driver should be able to start and end the traveled route timer,https://www.pivotaltracker.com/story/show/136637299,Timothy,Add a start button to start the timer,not completed,Add an end button to end the timer,not completed,Add a done button to save the traveled time,not completed,,,,,,,,
136637311,I want to view served customer history,driver,2,28-Nov-16,11-Dec-16,feature,2,accepted,14-Nov-16,5-Dec-16,,Jefferson Ng,Driver should be able to view served customer history,https://www.pivotaltracker.com/story/show/136637311,Mike Chong,Add a table that contain served customer information,not completed,,,,,,,,,,,,
136637291,I want to check the route price by selecting the pick up location and destination,driver,2,28-Nov-16,11-Dec-16,feature,3,accepted,14-Nov-16,8-Dec-16,,Jefferson Ng,Driver should be able to check the route price,https://www.pivotaltracker.com/story/show/136637291,Jefferson Ng,Add 2 spinners for driver to select pick up location and destination,not completed,Add check button for driver to check price,not completed,,,,,,,,,,
136637359,I wish to view transaction history,member,3,12-Dec-16,25-Dec-16,feature,1,accepted,14-Nov-16,15-Dec-16,,Timothy,Member should be able to view transaction history,https://www.pivotaltracker.com/story/show/136637359,Timothy,Add a table to display the transaction history,not completed,,,,,,,,,,,,
136637349,I want my favorite route can be saved,member,3,12-Dec-16,25-Dec-16,feature,1,accepted,14-Nov-16,16-Dec-16,,Mike Chong,Member should be able to save route into favorite route list,https://www.pivotaltracker.com/story/show/136637349,Mike Chong,Add a save button to save the favorite route into favorite route list,not completed,,,,,,,,,,,,
136637365,I wish I can edit my own profile,member,3,12-Dec-16,25-Dec-16,feature,2,accepted,14-Nov-16,17-Dec-16,,Kelvin Wong,Member should be able to edit profile,https://www.pivotaltracker.com/story/show/136637365,Kelvin Wong,Add 5 textfields to display member information and allow member to edit them,not completed,Add confirm button to confirm the profile editing,not completed,,,,,,,,,,
136637333,"I wish to make reservation by choosing pick up location, destination location, date and time, and driver",member,3,12-Dec-16,25-Dec-16,feature,2,started,14-Nov-16,,,E Bell Lim,Member should be able to make reservation,https://www.pivotaltracker.com/story/show/136637333,E Bell Lim,Add 2 sipnners for pick up location and destination,not completed,Add a textview to display the route distance in km form,not completed,Add a datepicker to let member choose date,not completed,Add a spinner for pick up time,not completed,Add check button to validate the date and time,not completed,Add a table to display available drivers list,not completed,Add confirm button to complete the reservation process,not completed
136637339,I wish I can make online payment and view the online receipt,member,3,12-Dec-16,25-Dec-16,feature,3,started,14-Nov-16,,,Jefferson Ng,Member should be able to make payment after reached destination,https://www.pivotaltracker.com/story/show/136637339,Jefferson Ng,Add a button to make payment,not completed,Add a textview to display total fare charged,not completed,Add a spinner to let customer to choose card type,not completed,Add 2 textfields for card number and ccv number,not completed,Add spinner for card expiration date,not completed,Add confirm button to complete the payment process,not completed,Display payment receipt,not completed
